import time: self [us] | cumulative | imported package
import time:       101 |        101 |                       narwhals.series_struct
import time:       564 |       1513 |                     narwhals.series
import time:       892 |       3813 |                   narwhals.dataframe
import time:       481 |      21878 |                 narwhals
import time:       291 |        291 |                   narwhals.stable.v1.dependencies
import time:       239 |        239 |                     narwhals.stable.v1._dtypes
import time:        99 |        338 |                   narwhals.stable.v1.dtypes
import time:       448 |        448 |                   narwhals.stable.v1.selectors
import time:       195 |        195 |                   narwhals.stable.v1.typing
import time:      1941 |       3211 |                 narwhals.stable.v1
import time:       437 |      25524 |               narwhals.stable
import time:        11 |      25535 |             narwhals.stable.v1
import time:       699 |        699 |             PIL._version
import time:      1245 |      27479 |           _plotly_utils.basevalidators
import time:       448 |      28178 |         _plotly_utils.utils
import time:       230 |        230 |         _plotly_utils.exceptions
import time:       289 |        289 |         plotly.optional_imports
import time:       330 |        330 |         plotly.shapeannotation
import time:       501 |        501 |         plotly._subplots
import time:      1035 |      30559 |       plotly.basedatatypes
import time:       295 |        295 |       plotly.validator_cache
import time:     50473 |      85113 |     streamlit.elements.plotly_chart
import time:       171 |        171 |     streamlit.elements.progress
import time:       187 |        187 |     streamlit.elements.pyplot
import time:       135 |        135 |     streamlit.elements.snow
import time:       132 |        132 |     streamlit.elements.space
import time:       254 |        254 |     streamlit.elements.text
import time:       127 |        127 |     streamlit.elements.toast
import time:      3044 |       3044 |       streamlit.elements.lib.built_in_chart_utils
import time:       768 |       3812 |     streamlit.elements.vega_charts
import time:       377 |        377 |       streamlit.elements.widgets
import time:       132 |        132 |       streamlit.elements.lib.file_uploader_utils
import time:       663 |        663 |       streamlit.elements.widgets.file_uploader
import time:       562 |       1732 |     streamlit.elements.widgets.audio_input
import time:       235 |        235 |         streamlit.navigation
import time:       366 |        601 |       streamlit.navigation.page
import time:       585 |       1185 |     streamlit.elements.widgets.button
import time:       324 |        324 |       streamlit.elements.lib.options_selector_utils
import time:       784 |       1107 |     streamlit.elements.widgets.button_group
import time:       475 |        475 |     streamlit.elements.widgets.camera_input
import time:      1003 |       1003 |     streamlit.elements.widgets.chat
import time:       544 |        544 |     streamlit.elements.widgets.checkbox
import time:       348 |        348 |     streamlit.elements.widgets.color_picker
import time:       783 |        783 |     streamlit.elements.widgets.data_editor
import time:       548 |        548 |     streamlit.elements.widgets.multiselect
import time:       123 |        123 |       streamlit.elements.lib.js_number
import time:       585 |        707 |     streamlit.elements.widgets.number_input
import time:       412 |        412 |     streamlit.elements.widgets.radio
